name,grades,score,ra,dec,ABmag_F444W,has_COWLS_counterpart,within_COWLS_footprint,code_COWLS
COS_77373,XXXXXXXX,0,150.04766129,2.4094169008,19.4603,False,True,
COS_77417,XXXXXXXX,0,150.105523,2.4229806989,17.4579,False,True,
COS_7774,XXXXXXXX,0,150.08323354,2.1500779435,20.011,False,True,
COS_78241,XXXXXXXX,0,150.11001725,2.4197428127,17.9928,False,True,
COS_79433,XXXXXXXX,0,150.1235303,2.4242556983,18.0063,False,True,
COS_80118,XXXXXXXX,0,150.14033105,2.4189488659,19.7301,False,True,
COS_80180,XXXXXXXX,0,150.06790114,2.419772907,19.3065,False,True,
COS_81492,XXXXXXXX,0,150.10421386,2.4219239205,20.0913,False,True,
COS_81650,XXXXXXXX,0,150.02071786,2.4226173933,19.5779,False,True,
COS_81697,XXXXXXXX,0,150.11065337,2.4205628582,20.9281,False,True,
COS_82499,XXXXXXUX,0,150.10201663,2.425959617,19.5321,False,True,
COS_82690,XXXXXXXX,0,150.03929749,2.4284944381,18.9663,False,True,
COS_82760,XXXXUXXX,0,150.040375,2.4259610731,20.6262,False,True,
COS_84586,XXXXXXXX,0,150.04906474,2.434601108,18.6114,False,True,
COS_84954,XXXXXXXX,0,150.1301074,2.4376714137,18.4916,True,True,COSJ100031+022615
COS_85358,XXXXXXXX,0,150.11896159,2.457181377,17.4017,False,True,
COS_85676,XXXXXXXX,0,150.01814945,2.4371768658,19.9113,False,True,
COS_86707,XXXXXXXX,0,150.04486067,2.4395617389,19.9266,False,True,
COS_87376,XXXXXXXU,0,150.04934344,2.4397581032,20.1089,False,True,
COS_87476,XXXXXXXX,0,150.0236398,2.4432564475,18.9711,False,True,
COS_88024,XXXXXXXX,0,150.15346773,2.4430793009,19.5064,False,True,
COS_88313,XXXXXXXU,0,150.1416683,2.4460457248,19.4008,False,True,
COS_88623,XXXXXXXX,0,150.12321258,2.4432343756,20.1776,False,True,
COS_88690,XXXXXXXX,0,150.02483954,2.4440725409,20.0892,False,True,
COS_88913,XXXXXXXX,0,150.0372702,2.4454164529,19.2791,False,True,
COS_89389,XXXXXXXX,0,150.03336083,2.4489345365,18.5218,False,True,
COS_89561,XXUXXXXX,0,150.02377911,2.4466647053,19.7104,False,True,
COS_89597,XXXXXXXX,0,150.18218338,2.4513562107,18.3188,False,True,
COS_90816,XXUXXXXX,0,150.14489591,2.4488546313,20.8777,False,True,
COS_91032,XXXXXXXX,0,150.1003463,2.4564727819,18.7971,False,True,
COS_93045,XXXXXXXU,0,150.06124068,2.4590735113,18.7446,False,True,
COS_93050,XXXXXXXX,0,150.08831106,2.4593013342,19.5039,False,True,
